sample_id,version,pipeline,model,prompt_strategy,svc_label,issue_type
DAFNY2VERUS-COLLECTION_14,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
DAFNY2VERUS-COLLECTION_143,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
DAFNY2VERUS-COLLECTION_143,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
DAFNY2VERUS-COLLECTION_186,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
DAFNY2VERUS-COLLECTION_2,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,code_mismatch;spec_mismatch;code_spec_inconsistency
DAFNY2VERUS-COLLECTION_2,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,code_mismatch;spec_mismatch;code_spec_inconsistency
DAFNY2VERUS-COLLECTION_2,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,code_mismatch;spec_mismatch;code_spec_inconsistency
DAFNY2VERUS-COLLECTION_202,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
DAFNY2VERUS-COLLECTION_202,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
DAFNY2VERUS-COLLECTION_22,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
DAFNY2VERUS-COLLECTION_22,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
DAFNY2VERUS-COLLECTION_26,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
DAFNY2VERUS-COLLECTION_3,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
DAFNY2VERUS-COLLECTION_3,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
DAFNY2VERUS-COLLECTION_3,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
DAFNY2VERUS-COLLECTION_3,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
DAFNY2VERUS-COLLECTION_45,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
DAFNY2VERUS-COLLECTION_55,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
DAFNY2VERUS-COLLECTION_70,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
DAFNY2VERUS-COLLECTION_76,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
DAFNY2VERUS-COLLECTION_89,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
HumanEval-Verus_task_58,03.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
HumanEval-Verus_task_57,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
MBPP-verified_task_59,00.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,code_mismatch;spec_mismatch;code_spec_inconsistency
MBPP-verified_task_59,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
MBPP-verified_task_60,02.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0049_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
VeriCoding_VA0049_vericoded,04.rs,p1,claude-sonnet-4-5-20250929,fewshot,0,code_mismatch;spec_mismatch
VeriCoding_VA0080_vericoded,01.rs,p1,claude-sonnet-4-5-20250929,fewshot,1,
